"","variable","activity","subject","mean"
"1","tBodyAcc-mean-X","LAYING","1",0.22159824394
"2","tBodyAcc-mean-Y","LAYING","1",-0.0405139534294
"3","tBodyAcc-mean-Z","LAYING","1",-0.11320355358
"4","tBodyAcc-std-X","LAYING","1",-0.9280564692
"5","tBodyAcc-std-Y","LAYING","1",-0.83682740562
"6","tBodyAcc-std-Z","LAYING","1",-0.826061401628
"7","tGravityAcc-mean-X","LAYING","1",-0.24888179828
"8","tGravityAcc-mean-Y","LAYING","1",0.70554977346
"9","tGravityAcc-mean-Z","LAYING","1",0.4458177198
"10","tGravityAcc-std-X","LAYING","1",-0.8968300184
"11","tGravityAcc-std-Y","LAYING","1",-0.90772000676
"12","tGravityAcc-std-Z","LAYING","1",-0.85236629022
"13","tBodyAccJerk-mean-X","LAYING","1",0.0810865342
"14","tBodyAccJerk-mean-Y","LAYING","1",0.0038382040088
"15","tBodyAccJerk-mean-Z","LAYING","1",0.010834236361
"16","tBodyAccJerk-std-X","LAYING","1",-0.958482112
"17","tBodyAccJerk-std-Y","LAYING","1",-0.9241492736
"18","tBodyAccJerk-std-Z","LAYING","1",-0.9548551108
"19","tBodyGyro-mean-X","LAYING","1",-0.016553093978
"20","tBodyGyro-mean-Y","LAYING","1",-0.064486124088
"21","tBodyGyro-mean-Z","LAYING","1",0.14868943626
"22","tBodyGyro-std-X","LAYING","1",-0.87354386782
"23","tBodyGyro-std-Y","LAYING","1",-0.9510904402
"24","tBodyGyro-std-Z","LAYING","1",-0.9082846626
"25","tBodyGyroJerk-mean-X","LAYING","1",-0.107270949192
"26","tBodyGyroJerk-mean-Y","LAYING","1",-0.04151728689
"27","tBodyGyroJerk-mean-Z","LAYING","1",-0.0740501211
"28","tBodyGyroJerk-std-X","LAYING","1",-0.9186085208
"29","tBodyGyroJerk-std-Y","LAYING","1",-0.9679072436
"30","tBodyGyroJerk-std-Z","LAYING","1",-0.9577901596
"31","tBodyAccMag-mean","LAYING","1",-0.8419291525
"32","tBodyAccMag-std","LAYING","1",-0.79514486386
"33","tGravityAccMag-mean","LAYING","1",-0.8419291525
"34","tGravityAccMag-std","LAYING","1",-0.79514486386
"35","tBodyAccJerkMag-mean","LAYING","1",-0.9543962646
"36","tBodyAccJerkMag-std","LAYING","1",-0.9282456284
"37","tBodyGyroMag-mean","LAYING","1",-0.874759548
"38","tBodyGyroMag-std","LAYING","1",-0.81901016976
"39","tBodyGyroJerkMag-mean","LAYING","1",-0.96346103
"40","tBodyGyroJerkMag-std","LAYING","1",-0.9358409828
"41","fBodyAcc-mean-X","LAYING","1",-0.9390990524
"42","fBodyAcc-mean-Y","LAYING","1",-0.86706520518
"43","fBodyAcc-mean-Z","LAYING","1",-0.8826668762
"44","fBodyAcc-std-X","LAYING","1",-0.9244374346
"45","fBodyAcc-std-Y","LAYING","1",-0.8336255561
"46","fBodyAcc-std-Z","LAYING","1",-0.81289155944
"47","fBodyAccJerk-mean-X","LAYING","1",-0.9570738838
"48","fBodyAccJerk-mean-Y","LAYING","1",-0.9224626098
"49","fBodyAccJerk-mean-Z","LAYING","1",-0.9480609042
"50","fBodyAccJerk-std-X","LAYING","1",-0.9641607086
"51","fBodyAccJerk-std-Y","LAYING","1",-0.9322178704
"52","fBodyAccJerk-std-Z","LAYING","1",-0.9605869872
"53","fBodyGyro-mean-X","LAYING","1",-0.850249174586
"54","fBodyGyro-mean-Y","LAYING","1",-0.9521914948
"55","fBodyGyro-mean-Z","LAYING","1",-0.909302721
"56","fBodyGyro-std-X","LAYING","1",-0.8822964508
"57","fBodyGyro-std-Y","LAYING","1",-0.9512320494
"58","fBodyGyro-std-Z","LAYING","1",-0.9165825082
"59","fBodyAccMag-mean","LAYING","1",-0.8617676481
"60","fBodyAccMag-std","LAYING","1",-0.7983009404
"61","fBodyBodyAccJerkMag-mean","LAYING","1",-0.9333003608
"62","fBodyBodyAccJerkMag-std","LAYING","1",-0.9218039756
"63","fBodyBodyGyroMag-mean","LAYING","1",-0.8621901854
"64","fBodyBodyGyroMag-std","LAYING","1",-0.82431943968
"65","fBodyBodyGyroJerkMag-mean","LAYING","1",-0.9423669466
"66","fBodyBodyGyroJerkMag-std","LAYING","1",-0.9326606676
"67","tBodyAcc-mean-X","LAYING","2",0.281373403958333
"68","tBodyAcc-mean-Y","LAYING","2",-0.0181587397583333
"69","tBodyAcc-mean-Z","LAYING","2",-0.107245610416667
"70","tBodyAcc-std-X","LAYING","2",-0.974059464791667
"71","tBodyAcc-std-Y","LAYING","2",-0.98027739875
"72","tBodyAcc-std-Z","LAYING","2",-0.984233296875
"73","tGravityAcc-mean-X","LAYING","2",-0.509754238125
"74","tGravityAcc-mean-Y","LAYING","2",0.752536639375
"75","tGravityAcc-mean-Z","LAYING","2",0.646834879583333
"76","tGravityAcc-std-X","LAYING","2",-0.959014441458333
"77","tGravityAcc-std-Y","LAYING","2",-0.988211865208333
"78","tGravityAcc-std-Z","LAYING","2",-0.984230418125
"79","tBodyAccJerk-mean-X","LAYING","2",0.0825972511666667
"80","tBodyAccJerk-mean-Y","LAYING","2",0.012254788451875
"81","tBodyAccJerk-mean-Z","LAYING","2",-0.00180264895625
"82","tBodyAccJerk-std-X","LAYING","2",-0.98587216875
"83","tBodyAccJerk-std-Y","LAYING","2",-0.98317254125
"84","tBodyAccJerk-std-Z","LAYING","2",-0.988442014375
"85","tBodyGyro-mean-X","LAYING","2",-0.01847660675
"86","tBodyGyro-mean-Y","LAYING","2",-0.111800824583333
"87","tBodyGyro-mean-Z","LAYING","2",0.144882846104167
"88","tBodyGyro-std-X","LAYING","2",-0.988275232916667
"89","tBodyGyro-std-Y","LAYING","2",-0.982291608958333
